id,date,type,amount,category,description,client,region,channel,status,dueDate,email
TXN1000,2026-01-01,income,284030.20,sales,Monthly wholesale distribution,Sigma Traders,North,Wholesale,paid,,sigma.contact@example.com
TXN1001,2026-01-04,income,53681.04,consulting,Quarterly supply-chain advisory,Sigma Traders,North,Export,paid,,sigma.contact@example.com
TXN1002,2026-01-06,income,100000.00,sales,Logistics hub revenue,Beta Logistics,South,Wholesale,paid,,beta.ops@example.com
TXN1003,2026-01-11,income,51192.26,sales,Retail supplies,Alpha Supplies,East,Retail,paid,,alpha.trading@example.com
TXN1004,2026-01-16,income,58276.10,sales,Bulk retail order,Sharma Retail,West,Retail,paid,,nandan.nv358@gmail.com, krishanmalhotra2005@gmail.com
TXN1005,2026-01-26,income,24361.37,sales,Online store orders,Global Exports Ltd,All,Digital,paid,,global.support@example.com
TXN1006,2026-01-03,expense,45000.00,rent,HQ Rent,Mehta Realty,North,Internal,paid,,contact@example.com
TXN1007,2026-01-29,expense,120000.00,salaries,Staff Payroll,Multiple,All,Internal,paid,,contact@example.com
TXN1008,2026-01-13,expense,15775.30,logistics,Local shipping,BlueDart,All,Retail,paid,,contact@example.com
TXN1009,2026-01-15,expense,15000.00,marketing,Social media management,Ad Agency,All,Digital,paid,,contact@example.com
TXN1010,2026-01-01,expense,2682.25,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1011,2026-01-04,income,1893.02,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1012,2026-01-06,expense,2230.59,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1013,2026-01-09,income,2982.82,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1014,2026-01-10,income,5.06,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1015,2026-01-12,income,2325.19,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1016,2026-01-14,expense,1795.96,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1017,2026-01-15,expense,1293.94,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1018,2026-01-19,expense,1061.23,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1019,2026-01-23,income,4364.59,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1020,2026-01-25,income,2224.64,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1021,2026-01-26,income,1841.77,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1022,2026-01-29,expense,3777.50,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1023,2026-01-31,expense,1964.98,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1024,2026-02-01,income,288507.11,sales,Monthly wholesale distribution,Sigma Traders,North,Wholesale,paid,,sigma.contact@example.com
TXN1025,2026-02-04,income,45857.05,consulting,Quarterly supply-chain advisory,Sigma Traders,North,Export,paid,,sigma.contact@example.com
TXN1026,2026-02-06,income,105000.00,sales,Logistics hub revenue,Beta Logistics,South,Wholesale,paid,,beta.ops@example.com
TXN1027,2026-02-11,income,51669.43,sales,Retail supplies,Alpha Supplies,East,Retail,paid,,alpha.trading@example.com
TXN1028,2026-02-16,income,59877.18,sales,Bulk retail order,Sharma Retail,West,Retail,paid,,nandan.nv358@gmail.com, krishanmalhotra2005@gmail.com
TXN1029,2026-02-26,income,22704.06,sales,Online store orders,Global Exports Ltd,All,Digital,paid,,global.support@example.com
TXN1030,2026-02-03,expense,45000.00,rent,HQ Rent,Mehta Realty,North,Internal,paid,,contact@example.com
TXN1031,2026-03-01,expense,120000.00,salaries,Staff Payroll,Multiple,All,Internal,paid,,contact@example.com
TXN1032,2026-02-13,expense,19898.20,logistics,Local shipping,BlueDart,All,Retail,paid,,contact@example.com
TXN1033,2026-02-15,expense,15000.00,marketing,Social media management,Ad Agency,All,Digital,paid,,contact@example.com
TXN1034,2026-02-03,expense,3339.69,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1035,2026-02-04,income,3196.56,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1036,2026-02-06,expense,4922.71,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1037,2026-02-09,income,651.64,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1038,2026-02-10,expense,3486.88,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1039,2026-02-11,expense,1872.65,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1040,2026-02-12,expense,1735.31,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1041,2026-02-15,income,2223.11,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1042,2026-02-18,expense,958.03,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1043,2026-02-19,expense,3370.71,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1044,2026-02-21,expense,3286.67,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1045,2026-02-22,expense,2282.94,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1046,2026-02-24,expense,4143.43,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1047,2026-03-01,income,268127.88,sales,Monthly wholesale distribution,Sigma Traders,North,Wholesale,paid,,sigma.contact@example.com
TXN1048,2026-03-04,income,51411.98,consulting,Quarterly supply-chain advisory,Sigma Traders,North,Export,paid,,sigma.contact@example.com
TXN1049,2026-03-06,income,110250.00,sales,Logistics hub revenue,Beta Logistics,South,Wholesale,paid,,beta.ops@example.com
TXN1050,2026-03-11,income,45015.62,sales,Retail supplies,Alpha Supplies,East,Retail,paid,,alpha.trading@example.com
TXN1051,2026-03-16,income,58090.36,sales,Bulk retail order,Sharma Retail,West,Retail,paid,,nandan.nv358@gmail.com, krishanmalhotra2005@gmail.com
TXN1052,2026-03-26,income,24506.05,sales,Online store orders,Global Exports Ltd,All,Digital,paid,,global.support@example.com
TXN1053,2026-03-03,expense,45000.00,rent,HQ Rent,Mehta Realty,North,Internal,paid,,contact@example.com
TXN1054,2026-03-29,expense,120000.00,salaries,Staff Payroll,Multiple,All,Internal,paid,,contact@example.com
TXN1055,2026-03-13,expense,15167.94,logistics,Local shipping,BlueDart,All,Retail,paid,,contact@example.com
TXN1056,2026-03-15,expense,15000.00,marketing,Social media management,Ad Agency,All,Digital,paid,,contact@example.com
TXN1057,2026-03-02,income,3398.09,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1058,2026-03-04,expense,3283.41,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1059,2026-03-06,expense,2601.66,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1060,2026-03-07,income,459.36,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1061,2026-03-09,income,210.99,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1062,2026-03-12,expense,1671.24,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1063,2026-03-15,expense,3705.12,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1064,2026-03-16,expense,3004.68,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1065,2026-03-17,expense,467.45,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1066,2026-03-18,income,1476.52,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1067,2026-03-22,income,1624.78,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1068,2026-03-25,expense,31.39,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1069,2026-03-26,expense,418.10,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1070,2026-03-27,expense,408.91,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1071,2026-03-28,income,3479.56,sales,Daily transaction,Walk-in Client,North,Retail,paid,,n/a
TXN1072,2026-03-30,expense,3489.37,utilities,Miscellaneous office cost,Utility Corp,North,Internal,paid,,contact@example.com
TXN1073,2026-04-01,income,284127.74,sales,Monthly wholesale distribution,Sigma Traders,North,Wholesale,paid,,sigma.contact@example.com
TXN1074,2026-04-04,income,49743.45,consulting,Quarterly supply-chain advisory,Sigma Traders,North,Export,paid,,sigma.contact@example.com
TXN1075,2026-04-06,income,115762.50,sales,Logistics hub revenue,Beta Logistics,South,Wholesale,paid,,beta.ops@example.com
TXN1076,2026-04-11,income,45866.83,sales,Retail supplies,Alpha Supplies,East,Retail,paid,,alpha.trading@example.com
TXN1077,2026-04-16,income,57875.79,sales,Bulk retail order,Sharma Retail,West,Retail,paid,,nandan.nv358@gmail.com, krishanmalhotra2005@gmail.com
TXN1078,2026-04-26,income,22116.80,sales,Online store orders,Global Exports Ltd,All,Digital,paid,,global.support@example.com
TXN1079,2026-04-03,expense,45000.00,rent,HQ Rent,Mehta Realty,North,Internal,paid,,contact@example.com
TXN1080,2026-04-29,expense,120000.00,salaries,Staff Payroll,Multiple,All,Internal,paid,,contact@example.com
TXN1081,2026-04-13,expense,15669.15,logistics,Local shipping,BlueDart,All,Retail,paid,,contact@example.com
TXN1082,2026-04-15,expense,150000.00,marketing,Digital Ad Campaign - Q2 Blitz,Google Ads,All,Digital,paid,,contact@example.com
